channel,prn,acq_doppler_hz,acq_doppler_step,fs,prompt_i,prompt_q,cn0_db_hz,carrier_doppler_hz,pseudorange_m,rx_time,channel,prn,acq_doppler_hz,acq_doppler_step,fs,prompt_i,prompt_q,cn0_db_hz,carrier_doppler_hz,pseudorange_m,rx_time,channel,prn,acq_doppler_hz,acq_doppler_step,fs,prompt_i,prompt_q,cn0_db_hz,carrier_doppler_hz,pseudorange_m,rx_time,channel,prn,acq_doppler_hz,acq_doppler_step,fs,prompt_i,prompt_q,cn0_db_hz,carrier_doppler_hz,pseudorange_m,rx_time,channel,prn,acq_doppler_hz,acq_doppler_step,fs,prompt_i,prompt_q,cn0_db_hz,carrier_doppler_hz,pseudorange_m,rx_time,channel,prn,acq_doppler_hz,acq_doppler_step,fs,prompt_i,prompt_q,cn0_db_hz,carrier_doppler_hz,pseudorange_m,rx_time,channel,prn,acq_doppler_hz,acq_doppler_step,fs,prompt_i,prompt_q,cn0_db_hz,carrier_doppler_hz,pseudorange_m,rx_time,channel,prn,acq_doppler_hz,acq_doppler_step,fs,prompt_i,prompt_q,cn0_db_hz,carrier_doppler_hz,pseudorange_m,rx_time,
0,16,-2750,0,25000000,-41502876,-18280.35547,49.87542,-2804.615091,24568437.24,477918.24,1,10,500,0,25000000,-17366126,181244.375,44.124878,621.329457,26399475.49,477918.24,2,3,750,0,25000000,42644120,-46188.28516,49.915241,757.745189,23452589.08,477918.24,3,23,-500,0,25000000,47722784,598859.4375,52.31987,-443.548675,22571720.19,477918.24,4,19,2750,0,25000000,33753592,352654.2813,47.950256,2611.494911,663059.4917,477916.98,5,6,-500,0,25000000,-33853396,-234692.8906,49.012421,-531.275248,399713.8008,477916.98,6,7,1750,0,25000000,-31353336,-375321.2188,48.328705,1854.92327,1166905.899,477916.98,7,13,1750,0,25000000,-48162452,-289212.1875,50.874359,1829.492268,-788803.8956,477916.98, 
0,16,-2750,0,25000000,-41502876,-18280.35547,49.87542,-2804.615091,24568437.24,477918.24,1,10,500,0,25000000,-17366126,181244.375,44.124878,621.329457,26399475.49,477918.24,2,3,750,0,25000000,42644120,-46188.28516,49.915241,757.745189,23452589.08,477918.24,3,23,-500,0,25000000,47722784,598859.4375,52.31987,-443.548675,22571720.19,477918.24,4,19,2750,0,25000000,33853272,-118357,48.142605,2609.542391,24645868.28,477918.24,5,6,-500,0,25000000,-33853396,-234692.8906,49.012421,-531.275248,399713.8008,477916.98,6,7,1750,0,25000000,-31353336,-375321.2188,48.328705,1854.92327,1166905.899,477916.98,7,13,1750,0,25000000,-48162452,-289212.1875,50.874359,1829.492268,-788803.8956,477916.98, 
0,16,-2750,0,25000000,-41502876,-18280.35547,49.87542,-2804.615091,24568437.24,477918.24,1,10,500,0,25000000,-17366126,181244.375,44.124878,621.329457,26399475.49,477918.24,2,3,750,0,25000000,42644120,-46188.28516,49.915241,757.745189,23452589.08,477918.24,3,23,-500,0,25000000,47722784,598859.4375,52.31987,-443.548675,22571720.19,477918.24,4,19,2750,0,25000000,33853272,-118357,48.142605,2609.542391,24645868.28,477918.24,5,6,-500,0,25000000,-33707640,-173139.125,48.999069,-529.018025,24383230.84,477918.24,6,7,1750,0,25000000,-31353336,-375321.2188,48.328705,1854.92327,1166905.899,477916.98,7,13,1750,0,25000000,-48162452,-289212.1875,50.874359,1829.492268,-788803.8956,477916.98, 
0,16,-2750,0,25000000,-41502876,-18280.35547,49.87542,-2804.615091,24568437.24,477918.24,1,10,500,0,25000000,-17366126,181244.375,44.124878,621.329457,26399475.49,477918.24,2,3,750,0,25000000,42644120,-46188.28516,49.915241,757.745189,23452589.08,477918.24,3,23,-500,0,25000000,47722784,598859.4375,52.31987,-443.548675,22571720.19,477918.24,4,19,2750,0,25000000,33853272,-118357,48.142605,2609.542391,24645868.28,477918.24,5,6,-500,0,25000000,-33707640,-173139.125,48.999069,-529.018025,24383230.84,477918.24,6,7,1750,0,25000000,31933440,754390.875,47.909081,1856.005727,25149884.55,477918.24,7,13,1750,0,25000000,-48162452,-289212.1875,50.874359,1829.492268,-788803.8956,477916.98, 
0,16,-2750,0,25000000,-41502876,-18280.35547,49.87542,-2804.615091,24568437.24,477918.24,1,10,500,0,25000000,-17366126,181244.375,44.124878,621.329457,26399475.49,477918.24,2,3,750,0,25000000,42644120,-46188.28516,49.915241,757.745189,23452589.08,477918.24,3,23,-500,0,25000000,47722784,598859.4375,52.31987,-443.548675,22571720.19,477918.24,4,19,2750,0,25000000,33853272,-118357,48.142605,2609.542391,24645868.28,477918.24,5,6,-500,0,25000000,-33707640,-173139.125,48.999069,-529.018025,24383230.84,477918.24,6,7,1750,0,25000000,31933440,754390.875,47.909081,1856.005727,25149884.55,477918.24,7,13,1750,0,25000000,46015336,177163.1563,51.872387,1829.901399,23194181.29,477918.24, 
0,16,-2750,0,25000000,40462404,665647.75,50.948574,-2805.037986,24568970.6,477919.24,1,10,500,0,25000000,-17366126,181244.375,44.124878,621.329457,26399475.49,477918.24,2,3,750,0,25000000,42644120,-46188.28516,49.915241,757.745189,23452589.08,477918.24,3,23,-500,0,25000000,47722784,598859.4375,52.31987,-443.548675,22571720.19,477918.24,4,19,2750,0,25000000,33853272,-118357,48.142605,2609.542391,24645868.28,477918.24,5,6,-500,0,25000000,-33707640,-173139.125,48.999069,-529.018025,24383230.84,477918.24,6,7,1750,0,25000000,31933440,754390.875,47.909081,1856.005727,25149884.55,477918.24,7,13,1750,0,25000000,46015336,177163.1563,51.872387,1829.901399,23194181.29,477918.24, 
0,16,-2750,0,25000000,40462404,665647.75,50.948574,-2805.037986,24568970.6,477919.24,1,10,500,0,25000000,16868256,-259842.2188,43.427113,623.817612,26399357.43,477919.24,2,3,750,0,25000000,42644120,-46188.28516,49.915241,757.745189,23452589.08,477918.24,3,23,-500,0,25000000,47722784,598859.4375,52.31987,-443.548675,22571720.19,477918.24,4,19,2750,0,25000000,33853272,-118357,48.142605,2609.542391,24645868.28,477918.24,5,6,-500,0,25000000,-33707640,-173139.125,48.999069,-529.018025,24383230.84,477918.24,6,7,1750,0,25000000,31933440,754390.875,47.909081,1856.005727,25149884.55,477918.24,7,13,1750,0,25000000,46015336,177163.1563,51.872387,1829.901399,23194181.29,477918.24, 
0,16,-2750,0,25000000,40462404,665647.75,50.948574,-2805.037986,24568970.6,477919.24,1,10,500,0,25000000,16868256,-259842.2188,43.427113,623.817612,26399357.43,477919.24,2,3,750,0,25000000,-43839736,43900.59375,50.513638,755.35193,23452445.77,477919.24,3,23,-500,0,25000000,47722784,598859.4375,52.31987,-443.548675,22571720.19,477918.24,4,19,2750,0,25000000,33853272,-118357,48.142605,2609.542391,24645868.28,477918.24,5,6,-500,0,25000000,-33707640,-173139.125,48.999069,-529.018025,24383230.84,477918.24,6,7,1750,0,25000000,31933440,754390.875,47.909081,1856.005727,25149884.55,477918.24,7,13,1750,0,25000000,46015336,177163.1563,51.872387,1829.901399,23194181.29,477918.24, 
0,16,-2750,0,25000000,40462404,665647.75,50.948574,-2805.037986,24568970.6,477919.24,1,10,500,0,25000000,16868256,-259842.2188,43.427113,623.817612,26399357.43,477919.24,2,3,750,0,25000000,-43839736,43900.59375,50.513638,755.35193,23452445.77,477919.24,3,23,-500,0,25000000,-48090784,-200432.5156,52.803722,-444.443509,22571805.17,477919.24,4,19,2750,0,25000000,33853272,-118357,48.142605,2609.542391,24645868.28,477918.24,5,6,-500,0,25000000,-33707640,-173139.125,48.999069,-529.018025,24383230.84,477918.24,6,7,1750,0,25000000,31933440,754390.875,47.909081,1856.005727,25149884.55,477918.24,7,13,1750,0,25000000,46015336,177163.1563,51.872387,1829.901399,23194181.29,477918.24, 
0,16,-2750,0,25000000,40462404,665647.75,50.948574,-2805.037986,24568970.6,477919.24,1,10,500,0,25000000,16868256,-259842.2188,43.427113,623.817612,26399357.43,477919.24,2,3,750,0,25000000,-43839736,43900.59375,50.513638,755.35193,23452445.77,477919.24,3,23,-500,0,25000000,-48090784,-200432.5156,52.803722,-444.443509,22571805.17,477919.24,4,19,2750,0,25000000,-35042656,43389.82813,48.024349,2610.634827,24645371.95,477919.24,5,6,-500,0,25000000,-33707640,-173139.125,48.999069,-529.018025,24383230.84,477918.24,6,7,1750,0,25000000,31933440,754390.875,47.909081,1856.005727,25149884.55,477918.24,7,13,1750,0,25000000,46015336,177163.1563,51.872387,1829.901399,23194181.29,477918.24, 
