channel,prn,acq_doppler_hz,acq_doppler_step,fs,prompt_i,prompt_q,cn0_db_hz,carrier_doppler_hz,pseudorange_m,rx_time,channel,prn,acq_doppler_hz,acq_doppler_step,fs,prompt_i,prompt_q,cn0_db_hz,carrier_doppler_hz,pseudorange_m,rx_time,channel,prn,acq_doppler_hz,acq_doppler_step,fs,prompt_i,prompt_q,cn0_db_hz,carrier_doppler_hz,pseudorange_m,rx_time,channel,prn,acq_doppler_hz,acq_doppler_step,fs,prompt_i,prompt_q,cn0_db_hz,carrier_doppler_hz,pseudorange_m,rx_time,channel,prn,acq_doppler_hz,acq_doppler_step,fs,prompt_i,prompt_q,cn0_db_hz,carrier_doppler_hz,pseudorange_m,rx_time,channel,prn,acq_doppler_hz,acq_doppler_step,fs,prompt_i,prompt_q,cn0_db_hz,carrier_doppler_hz,pseudorange_m,rx_time,channel,prn,acq_doppler_hz,acq_doppler_step,fs,prompt_i,prompt_q,cn0_db_hz,carrier_doppler_hz,pseudorange_m,rx_time,channel,prn,acq_doppler_hz,acq_doppler_step,fs,prompt_i,prompt_q,cn0_db_hz,carrier_doppler_hz,pseudorange_m,rx_time,
0,19,2500,0,25000000,-34345840,300060.8125,48.271965,2615.329904,929844.3798,477900.98,1,16,-2750,0,25000000,-38047184,-32283.17188,48.95277,-2803.301143,834700.1595,477900.98,2,3,750,0,25000000,-43172800,-786877.9375,50.83617,770.794113,-269485.3085,477900.98,3,13,1750,0,25000000,48123908,-204052.7031,53.087193,1837.90972,-524390.9416,477900.98,4,23,-500,0,25000000,50574036,481225.5625,51.867096,-433.566092,-1154279.648,477900.98,5,6,-500,0,25000000,-33387350,-476511.25,47.917496,-521.755712,656940.62,477900.98,6,7,1750,0,25000000,34684612,-315149.8125,48.627758,1853.745076,1431375.087,477900.98,7,20,-3000,0,25000000,15476170,36064.66797,41.713215,-2968.408523,2646866.324,477900.98, 
0,19,2500,0,25000000,-35037356,-138746.1406,49.464035,2613.803258,929345.8341,477901.98,1,16,-2750,0,25000000,-38047184,-32283.17188,48.95277,-2803.301143,834700.1595,477900.98,2,3,750,0,25000000,-43172800,-786877.9375,50.83617,770.794113,-269485.3085,477900.98,3,13,1750,0,25000000,48123908,-204052.7031,53.087193,1837.90972,-524390.9416,477900.98,4,23,-500,0,25000000,50574036,481225.5625,51.867096,-433.566092,-1154279.648,477900.98,5,6,-500,0,25000000,-33387350,-476511.25,47.917496,-521.755712,656940.62,477900.98,6,7,1750,0,25000000,34684612,-315149.8125,48.627758,1853.745076,1431375.087,477900.98,7,20,-3000,0,25000000,15476170,36064.66797,41.713215,-2968.408523,2646866.324,477900.98, 
0,19,2500,0,25000000,-35037356,-138746.1406,49.464035,2613.803258,929345.8341,477901.98,1,16,-2750,0,25000000,-39379372,-39016.80469,48.870361,-2801.301091,835233.4962,477901.98,2,3,750,0,25000000,-43172800,-786877.9375,50.83617,770.794113,-269485.3085,477900.98,3,13,1750,0,25000000,48123908,-204052.7031,53.087193,1837.90972,-524390.9416,477900.98,4,23,-500,0,25000000,50574036,481225.5625,51.867096,-433.566092,-1154279.648,477900.98,5,6,-500,0,25000000,-33387350,-476511.25,47.917496,-521.755712,656940.62,477900.98,6,7,1750,0,25000000,34684612,-315149.8125,48.627758,1853.745076,1431375.087,477900.98,7,20,-3000,0,25000000,15476170,36064.66797,41.713215,-2968.408523,2646866.324,477900.98, 
0,19,2500,0,25000000,-35037356,-138746.1406,49.464035,2613.803258,929345.8341,477901.98,1,16,-2750,0,25000000,-39379372,-39016.80469,48.870361,-2801.301091,835233.4962,477901.98,2,3,750,0,25000000,-43061452,-197997.6719,50.444828,768.600753,-269632.4241,477901.98,3,13,1750,0,25000000,48123908,-204052.7031,53.087193,1837.90972,-524390.9416,477900.98,4,23,-500,0,25000000,50574036,481225.5625,51.867096,-433.566092,-1154279.648,477900.98,5,6,-500,0,25000000,-33387350,-476511.25,47.917496,-521.755712,656940.62,477900.98,6,7,1750,0,25000000,34684612,-315149.8125,48.627758,1853.745076,1431375.087,477900.98,7,20,-3000,0,25000000,15476170,36064.66797,41.713215,-2968.408523,2646866.324,477900.98, 
0,19,2500,0,25000000,-35037356,-138746.1406,49.464035,2613.803258,929345.8341,477901.98,1,16,-2750,0,25000000,-39379372,-39016.80469,48.870361,-2801.301091,835233.4962,477901.98,2,3,750,0,25000000,-43061452,-197997.6719,50.444828,768.600753,-269632.4241,477901.98,3,13,1750,0,25000000,49111792,129257.7188,51.977032,1837.41228,-524739.9951,477901.98,4,23,-500,0,25000000,50574036,481225.5625,51.867096,-433.566092,-1154279.648,477900.98,5,6,-500,0,25000000,-33387350,-476511.25,47.917496,-521.755712,656940.62,477900.98,6,7,1750,0,25000000,34684612,-315149.8125,48.627758,1853.745076,1431375.087,477900.98,7,20,-3000,0,25000000,15476170,36064.66797,41.713215,-2968.408523,2646866.324,477900.98, 
0,19,2500,0,25000000,-35037356,-138746.1406,49.464035,2613.803258,929345.8341,477901.98,1,16,-2750,0,25000000,-39379372,-39016.80469,48.870361,-2801.301091,835233.4962,477901.98,2,3,750,0,25000000,-43061452,-197997.6719,50.444828,768.600753,-269632.4241,477901.98,3,13,1750,0,25000000,49111792,129257.7188,51.977032,1837.41228,-524739.9951,477901.98,4,23,-500,0,25000000,50806776,-389109.1875,51.481133,-431.682335,-1154194.466,477901.98,5,6,-500,0,25000000,-33387350,-476511.25,47.917496,-521.755712,656940.62,477900.98,6,7,1750,0,25000000,34684612,-315149.8125,48.627758,1853.745076,1431375.087,477900.98,7,20,-3000,0,25000000,15476170,36064.66797,41.713215,-2968.408523,2646866.324,477900.98, 
0,19,2500,0,25000000,-35037356,-138746.1406,49.464035,2613.803258,929345.8341,477901.98,1,16,-2750,0,25000000,-39379372,-39016.80469,48.870361,-2801.301091,835233.4962,477901.98,2,3,750,0,25000000,-43061452,-197997.6719,50.444828,768.600753,-269632.4241,477901.98,3,13,1750,0,25000000,49111792,129257.7188,51.977032,1837.41228,-524739.9951,477901.98,4,23,-500,0,25000000,50806776,-389109.1875,51.481133,-431.682335,-1154194.466,477901.98,5,6,-500,0,25000000,-33438898,-198879.9375,47.87402,-517.29296,657038.989,477901.98,6,7,1750,0,25000000,34684612,-315149.8125,48.627758,1853.745076,1431375.087,477900.98,7,20,-3000,0,25000000,15476170,36064.66797,41.713215,-2968.408523,2646866.324,477900.98, 
0,19,2500,0,25000000,-35037356,-138746.1406,49.464035,2613.803258,929345.8341,477901.98,1,16,-2750,0,25000000,-39379372,-39016.80469,48.870361,-2801.301091,835233.4962,477901.98,2,3,750,0,25000000,-43061452,-197997.6719,50.444828,768.600753,-269632.4241,477901.98,3,13,1750,0,25000000,49111792,129257.7188,51.977032,1837.41228,-524739.9951,477901.98,4,23,-500,0,25000000,50806776,-389109.1875,51.481133,-431.682335,-1154194.466,477901.98,5,6,-500,0,25000000,-33438898,-198879.9375,47.87402,-517.29296,657038.989,477901.98,6,7,1750,0,25000000,34158928,-866608.4375,47.141083,1854.099515,1431021.763,477901.98,7,20,-3000,0,25000000,15476170,36064.66797,41.713215,-2968.408523,2646866.324,477900.98, 
0,19,2500,0,25000000,-35037356,-138746.1406,49.464035,2613.803258,929345.8341,477901.98,1,16,-2750,0,25000000,-39379372,-39016.80469,48.870361,-2801.301091,835233.4962,477901.98,2,3,750,0,25000000,-43061452,-197997.6719,50.444828,768.600753,-269632.4241,477901.98,3,13,1750,0,25000000,49111792,129257.7188,51.977032,1837.41228,-524739.9951,477901.98,4,23,-500,0,25000000,50806776,-389109.1875,51.481133,-431.682335,-1154194.466,477901.98,5,6,-500,0,25000000,-33438898,-198879.9375,47.87402,-517.29296,657038.989,477901.98,6,7,1750,0,25000000,34158928,-866608.4375,47.141083,1854.099515,1431021.763,477901.98,7,20,-3000,0,25000000,17190084,263072.6563,40.744385,-2971.339182,2647436.185,477901.98, 
0,19,2500,0,25000000,-35167916,374676.7188,49.078331,2615.146782,928851.3267,477902.98,1,16,-2750,0,25000000,-39379372,-39016.80469,48.870361,-2801.301091,835233.4962,477901.98,2,3,750,0,25000000,-43061452,-197997.6719,50.444828,768.600753,-269632.4241,477901.98,3,13,1750,0,25000000,49111792,129257.7188,51.977032,1837.41228,-524739.9951,477901.98,4,23,-500,0,25000000,50806776,-389109.1875,51.481133,-431.682335,-1154194.466,477901.98,5,6,-500,0,25000000,-33438898,-198879.9375,47.87402,-517.29296,657038.989,477901.98,6,7,1750,0,25000000,34158928,-866608.4375,47.141083,1854.099515,1431021.763,477901.98,7,20,-3000,0,25000000,17190084,263072.6563,40.744385,-2971.339182,2647436.185,477901.98, 
